,Datetime,Tweet Id,Text,Username,sen_results,polarity,subjectivity,sentiment
0,2022-09-15 03:15:33+00:00,1570249936633044999,Covid19 death toll is a tragedy and massive global failure at multiple levels Lancet commission says  News Social Impact | The Perfect Enemy:  #InternationalCooperation #PublicHealth #Vaccines,MrMarchi,"{'polarity': 0.11944444444444442, 'subjectivity': 0.39444444444444443, 'sentiment': 'Positive'}",0.11944444444444442,0.39444444444444443,Positive
1,2022-09-15 03:15:22+00:00,1570249890772443137,Covid19 death toll is a tragedy and massive global failure at multiple levels Lancet commission says  News Social Impact | The Perfect Enemy:  #InternationalCooperation #PublicHealth #Vaccines,MrSkanner,"{'polarity': 0.11944444444444442, 'subjectivity': 0.39444444444444443, 'sentiment': 'Positive'}",0.11944444444444442,0.39444444444444443,Positive
2,2022-09-15 03:13:56+00:00,1570249532138725376,Scientists from Harvard amp Johns Hopkins Found Covid19 Vaccines 98 Times Worse Than the Virus ,DanaMcspadden,"{'polarity': -0.4, 'subjectivity': 0.6, 'sentiment': 'Negative'}",-0.4,0.6,Negative
3,2022-09-15 03:11:47+00:00,1570248988690890754,"Yupbased on all Ive read sounds about right Health Ranger Report: Cancer cases up by 1000% since COVID19 vaccine rollout Jonathan Landsman tells Mike Adams
",YoungDeplorable,"{'polarity': 0.2857142857142857, 'subjectivity': 0.5357142857142857, 'sentiment': 'Positive'}",0.2857142857142857,0.5357142857142857,Positive
4,2022-09-15 03:11:03+00:00,1570248806507110402,Denmark has banned the COVID19 vaccine for most people under 50 the Danish Health Authority said yesterday ,ChrisGupta,"{'polarity': 0.5, 'subjectivity': 0.5, 'sentiment': 'Positive'}",0.5,0.5,Positive
5,2022-09-15 03:11:02+00:00,1570248799284785152,“College students tend to find themselves in close proximity with others in places like dorms and classrooms That’s why COVID19 vaccines and boosters are such a vital part of showing up as our healthiest and best selves on campus this year  ,WADeptHealth,"{'polarity': 0.3666666666666667, 'subjectivity': 0.39999999999999997, 'sentiment': 'Positive'}",0.3666666666666667,0.39999999999999997,Positive
6,2022-09-15 03:10:10+00:00,1570248584406396930,A peer reviewed study for anyone who has a Leftist who says its fake because it wasnt peer reviewed 😑 ‘Conscientious Objection’ Reason Enough to Refuse mRNA Vaccines as Preventive Treatment for COVID19: Study ,SpiritualWarfa8,"{'polarity': -0.18333333333333335, 'subjectivity': 0.7000000000000001, 'sentiment': 'Negative'}",-0.18333333333333335,0.7000000000000001,Negative
7,2022-09-15 03:08:31+00:00,1570248166250889217,Experimental COVID19 vaccine could outsmart future coronavirus variants ,alabnaanews,"{'polarity': 0.05, 'subjectivity': 0.2625, 'sentiment': 'Positive'}",0.05,0.2625,Positive
8,2022-09-15 03:08:30+00:00,1570248161373073409, The fast and random mutations of the virus defeat natural immunity Natural immunity plus vaccines and booster help protect you from death and severe illness from Covid 19,JAlan21813286,"{'polarity': -0.024999999999999994, 'subjectivity': 0.475, 'sentiment': 'Negative'}",-0.024999999999999994,0.475,Negative
9,2022-09-15 03:06:44+00:00,1570247717414379520,‘Conscientious Objection’ Reason Enough to Refuse mRNA Vaccines as Preventive Treatment for COVID19: Study ,Danette81918883,"{'polarity': 0.0, 'subjectivity': 0.5, 'sentiment': 'Neutral'}",0.0,0.5,Neutral
